unit_name,building,sub_community,community,emirate,bedrooms,bathrooms,size_sqft,price_aed,price_period,agent,agency,dld_permit,listed_date,url
Vacant Marina View Apartment | Spacious Layout,Beauport Tower,Marina Promenade,Dubai Marina,Dubai,2,3,1405,200000,yearly,Anwar Ahmed Sabri,TRUST EDGE REAL ESTATE L.L.C,6596325000,2026-03-04,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-promenade-beauport-tower-2PtUva6nQ00.html
Large 2 Bed | Full Lake View | Ready to Move In,Al Shebani Residence,,Dubai Marina,Dubai,2,2,1257,150000,yearly,Najah Raghah,RAJHA REAL ESTATE BROKERS L.L.C,6596336000,2026-02-26,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-al-shebani-residence-2PjNBEwxGpU.html
Fully Furnished | Open View Balcony | Vacant,Manchester Tower,,Dubai Marina,Dubai,studio,1,341,50000,yearly,Anton Tomalov,Metrika Real Estate,6596343000,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-manchester-tower-67430473.html
Marina View| Next To Metro| Brand New Building,Marina Living,,Dubai Marina,Dubai,1,2,784,140000,yearly,Haider Tariq,M T S REAL ESTATE L.L.C,6596351000,2026-03-10,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-living-2Q3jcZjB6aO.html
Fully Furnished | Prime Location | Great Value,Roda Amwaj Suites,Amwaj,Jumeirah Beach Residence,Dubai,2,2,2100,200000,yearly,Ahmed Mashal,ALASKA REAL ESTATE L.L.C,6599687000,2026-02-28,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-amwaj-roda-amwaj-suites-2PmsKqXcuBM.html
VACANT | 3 PLUS MAIDS | HIGH FLOOR | SEA VIEW,Murjan 6,Murjan,Jumeirah Beach Residence,Dubai,3,4,1882,190000,yearly,Adnan Hanif,Megapolis Real Estate,6599688000,2026-03-19,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-murjan-murjan-6-65967709.html
Beachfornt Penthouse I Fully Furnsihed,Sheraton The Walk,,Jumeirah Beach Residence,Dubai,4,5,5555,950000,yearly,Faizanahmed Khan,fam Properties - Branch 27,6599689000,2026-02-17,https://www.propertyfinder.ae/en/plp/rent/penthouse-for-rent-dubai-jumeirah-beach-residence-sheraton-the-walk-2PUHGtnC9Mv.html
Duplex Penthouse | Private Pool | Ready to Move In,Sadaf 3,Sadaf,Jumeirah Beach Residence,Dubai,4,7,6000,650000,yearly,Sophia Karipova,Castles Plaza Real Estate,6599690000,2026-02-04,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-sadaf-sadaf-3-16234425.html
VACANT | 3 PLUS MAID | Big Layout | Negotiable,Rimal 1,Rimal,Jumeirah Beach Residence,Dubai,3,4,1915,190000,yearly,Adnan Hanif,Megapolis Real Estate,6599691000,2026-03-19,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-rimal-rimal-1-65967705.html
Sea View | Fully Furnished | Spacious Layout,Shams 2,Shams,Jumeirah Beach Residence,Dubai,2,2,1322,165000,yearly,Ahmed Shehada,Forefront Realty,6599692000,2026-03-09,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-shams-shams-2-2Q1WT7krv28.html
Upgraded | All Bills Included | Prime Location,InterContinental Dubai Marina,,Dubai Marina,Dubai,1,1,624,240000,yearly,Rustam Nosirov,ALH Hospitality,6725077491,2026-03-11,https://www.propertyfinder.ae/en/plp/rent/hotel-apartment-for-rent-dubai-dubai-marina-intercontinental-dubai-marina-2Q4mVfCcR9s.html
Studio|Fully Serviced |Bills Included| Marina View,Sheraton The Walk,,Jumeirah Beach Residence,Dubai,studio,1,700,148000,yearly,Rustam Nosirov,ALH Hospitality,6731867700,2026-03-09,https://www.propertyfinder.ae/en/plp/rent/hotel-apartment-for-rent-dubai-jumeirah-beach-residence-sheraton-the-walk-2Q1VGSMalnc.html
Bills Included | Fully Serviced | Furnished,Jumeirah Living Marina Gate,Marina Gate,Dubai Marina,Dubai,1,1,813,250000,yearly,Ronan Hutchingson,White & Co Real Estate,6748027437,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-gate-jumeirah-living-marina-gate-67430581.html
High End Villa |Full Marina View at Jewels,The Jewel Tower A,The Jewels,Dubai Marina,Dubai,4,4,4447,1300000,yearly,Dylan Dharam Singh Sidhu,Al Hilal Property,6914170400,2026-02-19,https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-marina-the-jewels-the-jewel-tower-a-2PXm5VqmPxo.html
Elegant 4BR En-Suite Villa | Large Terrace,Al Mesk Villas,Emaar 6 Towers,Dubai Marina,Dubai,4,5,329112,450000,yearly,Amin Jaffer,Success Real Estate Brokers,6931283100,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-marina-emaar-6-towers-al-mesk-villas-64408179.html
Luxury Family Living | Largest Layout,Al Mesk Tower,Emaar 6 Towers,Dubai Marina,Dubai,3,4,4566,300000,yearly,Daniels Stupins,Espace Real Estate,6931283500,2026-02-13,https://www.propertyfinder.ae/en/plp/rent/villa-for-rent-dubai-dubai-marina-emaar-6-towers-al-mesk-tower-16318406.html
Rare Largest Studio | Marina View | Vacant,Cayan Tower,,Dubai Marina,Dubai,studio,1,783,110000,yearly,Laura Collins,haus & haus,7110252694,2026-03-04,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PtiBCMf56W.html
AMAZING STUDIO | FULL MARINA VIEW | VACANT,Cayan Tower,,Dubai Marina,Dubai,studio,1,665,125000,yearly,Oliver Le Gallez,Apex Homes DXB,7110252697,2026-03-15,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2QBba6zpTpw.html
Spacious Studio | Prime Waterfront Location,Cayan Tower,,Dubai Marina,Dubai,studio,1,689,95000,yearly,Amandeep Lalli,Elysian Real Estate - Palm Jumeirah Office,7110252721,2026-02-13,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16322059.html
Marina & Sea View | Luxury Fully Furnished | 1BR,Cayan Tower,,Dubai Marina,Dubai,1,2,713,140000,yearly,Islamjan Saidullaev,Best Luxury Properties LLC,7110252796,2026-03-06,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PwnuhZ0qrA.html
Offer Price| High end furnished| Marina view,Cayan Tower,,Dubai Marina,Dubai,1,1,762,134999,yearly,Marisol Dino,Banke International Properties,7110252799,2026-01-22,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16134876.html
Stylish | Fully Furnished | Marina View,Cayan Tower,,Dubai Marina,Dubai,1,2,875,120000,yearly,Jiyan Uzun,White & Co Real Estate,7110252832,2026-02-17,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PURBKhMfNA.html
Lake View | High Floor | Furnished | Vacant,Cayan Tower,,Dubai Marina,Dubai,1,2,713,135000,yearly,Yonathan Jonas,haus & haus,7110252877,2026-03-20,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-66326135.html
Marina View | Furnished | Vacant Now,Cayan Tower,,Dubai Marina,Dubai,1,2,875,130000,yearly,Roberta  Minichiello,Barnes International Realty,7110252952,2026-03-17,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-65188263.html
Sea View | Prime Location | Unfurnished | Vacant,Cayan Tower,,Dubai Marina,Dubai,2,3,1376,170000,yearly,Maxine Godwin,Edwards and Towers Real Estate Brokers,7110252964,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-64775696.html
Upgraded Furnished | Sea Views | Big Layout,Cayan Tower,,Dubai Marina,Dubai,2,3,1525,218000,yearly,Sangita Jetty,CASABELLA LUXURY REAL ESTATE LLC,7110253105,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-65558431.html
One Bedroom | Unfurnished | Marina Views,Cayan Tower,,Dubai Marina,Dubai,1,2,875,125000,yearly,Wade Mansfield,Allsopp & Allsopp - Residential Lettings,7110253183,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-67445181.html
Breathtaking Canal View | High Floor | Furnished,Cayan Tower,,Dubai Marina,Dubai,1,2,875,145000,yearly,Olga Pankina,WHITEWILL REAL ESTATE BROKERS L.L.C,7110253249,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-65578476.html
Exclusive l Full Sea View | High Floor,Cayan Tower,,Dubai Marina,Dubai,1,2,714,130000,yearly,Monique Bernardo,QASR AL RAYAN REAL ESTATE,7110253303,2026-03-14,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2Q9fnmAFYMy.html
2BED | Marina View | Fully Furnished | Best Layout,Cayan Tower,,Dubai Marina,Dubai,2,3,1372,230000,yearly,Tarek Kalsane,Casa Nostra Real Estate,7110253306,2026-03-07,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PyHA07MWeG.html
Marina View  High Floor  Vacant,Cayan Tower,,Dubai Marina,Dubai,1,2,762,129990,yearly,Oksana Mykhailiuk,fam Properties - Branch 6,7110253312,2026-02-12,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16309458.html
FURNISHED | 2-BEDROOM | MARINA VIEW | CAYAN TOWER,Cayan Tower,,Dubai Marina,Dubai,2,3,1372,229900,yearly,Anjelo Wilfred,Royal Manor Real Estate Broker,7110253333,2026-03-02,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PqervR9wIq.html
2 BR | High-end Furnished | Marina and Sea View,Cayan Tower,,Dubai Marina,Dubai,2,3,1525,230000,yearly,Ehren Sioen,Best Luxury Properties LLC,7110253348,2026-03-06,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PwmV8Y95cW.html
Renovated Soon | Skyline Views | Vacant,Cayan Tower,,Dubai Marina,Dubai,2,3,1254,199999,yearly,Gleb  Sysoenkov,Banke International Properties,7110257634,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-67427847.html
Unfurnished | Sea View | High Floor,Cayan Tower,,Dubai Marina,Dubai,1,2,875,135000,yearly,Kartikay Shastri,Provident Real Estate,7110257655,2026-02-27,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2Pkw4bftJtg.html
Exclusive | Larger Layout | Fully Furnished,Cayan Tower,,Dubai Marina,Dubai,2,3,1521,199000,yearly,Priyam Taneja,J P I REALTY,7110257664,2026-03-15,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2QBelVcDhAG.html
FURNISHED | 1-BEDROOM | MARINA VIEW | CAYAN TOWER,Cayan Tower,,Dubai Marina,Dubai,1,2,762,134900,yearly,Anjelo Wilfred,Royal Manor Real Estate Broker,7110257757,2026-02-05,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16247200.html
Full Sea View | High Floor | Great Layout,Cayan Tower,,Dubai Marina,Dubai,1,2,761,130000,yearly,Mohamed Salah,R E I M REAL ESTATE BROKERAGE,7110257784,2026-03-04,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PtW4RYR5nc.html
4 Cheques | Vacant | High Floor,Cayan Tower,,Dubai Marina,Dubai,1,2,761,129888,yearly,Oksana Mykhailiuk,fam Properties - Branch 6,7110257838,2026-01-20,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16110422.html
Luxury Furnished | Fully Upgraded | Negotiable,Cayan Tower,,Dubai Marina,Dubai,2,3,1525,240000,yearly,Jake Mc Connell,Luxfolio Real Estate Brokers LLC,7110257847,2026-03-23,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-67436192.html
Luxury furnished 1BR | High floor,Cayan Tower,,Dubai Marina,Dubai,1,2,713,115000,yearly,Olga Polettskaia,COLIFE REAL ESTATE,7110257889,2026-03-04,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2Pu3yCjSDK4.html
Marina View | Fully Furnished | High Floor,Cayan Tower,,Dubai Marina,Dubai,2,3,1254,210000,yearly,Nik Coutinho,Keyway Real Estate,7110257931,2026-02-25,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PhdENQytY8.html
Unfurnished Sought After 1 Bedroom,Cayan Tower,,Dubai Marina,Dubai,1,2,875,120000,yearly,Thais Vilhena,Exclusive Links Real Estate Brokers - Marina Branch,7110257979,2026-02-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PStfbjDMH2.html
Exclusive | Full Marina View | High Floor,Cayan Tower,,Dubai Marina,Dubai,2,3,1372,180000,yearly,Heidi Morrison,White & Co Real Estate,7110257994,2026-03-11,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2Q4xeyJRCMa.html
Sea Views | Bright | Vacant,Cayan Tower,,Dubai Marina,Dubai,2,3,1254,199999,yearly,Gleb  Sysoenkov,Banke International Properties,7110258012,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-64403233.html
Serene Layout | Full Marina View | 2BR-High Floor,Cayan Tower,,Dubai Marina,Dubai,2,3,1372,180000,yearly,Muhammad Ali Bokhari,Brown Stone Real Estate,7110258021,2026-02-20,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PZbO1NAXb6.html
Vacant | High Floor Unfurnished | Full Marina View,Cayan Tower,,Dubai Marina,Dubai,3,3,1647,250000,yearly,Elie Nabil Feghaly,Key Living Real Estate,7110258114,2026-02-10,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16285932.html
MARINA VIEW | FURNISHED 3 BEDROOM | CAYAN TOWER,Cayan Tower,,Dubai Marina,Dubai,3,4,1736,264900,yearly,Anjelo Wilfred,Royal Manor Real Estate Broker,7110258129,2026-01-21,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16128703.html
Avail Now | High Floor 3BR +M | Marina View,Cayan Tower,,Dubai Marina,Dubai,3,4,1734,220000,yearly,Rosey Bautista,OBG Real Estate Broker,7110258144,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-64406891.html
Luxury 2-Bedroom Fully Furnished Marina View,Cayan Tower,,Dubai Marina,Dubai,3,4,1736,265000,yearly,ANTONELLA CATTE,Playa Real Estate Brokerage LLC,7110258147,2026-01-21,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16120329.html
Penthouse1BR Duplex|Full Marina View|Special Offer,Cayan Tower,,Dubai Marina,Dubai,1,2,1034,120000,yearly,Vladimir Titorenko,VBRE,7110258168,2026-03-09,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2Q1PLyQgJwO.html
Full Sea View | Duplex | Furnished,Cayan Tower,,Dubai Marina,Dubai,2,3,1650,225000,yearly,Sana Ullah,Huspy Dubai,7110258240,2026-02-06,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-16252472.html
Unique Duplex | Sea View | Furnished,Cayan Tower,,Dubai Marina,Dubai,1,2,1103,170000,yearly,Harris Hiscoe,Espace Real Estate,7110258243,2026-02-26,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-2PjWDZqHeFc.html
Luxury Upgraded | Full Sea View | Maid Room-High F,Cayan Tower,,Dubai Marina,Dubai,4,5,2609,358998,yearly,Faisal Mughal,CASABELLA LUXURY REAL ESTATE LLC,7110258291,2026-02-10,https://www.propertyfinder.ae/en/plp/rent/penthouse-for-rent-dubai-dubai-marina-cayan-tower-16291448.html
High Floor | Upgraded | Marina View,Cayan Tower,,Dubai Marina,Dubai,4,5,2550,600000,yearly,Ufuoma Eshalomi,AQUA Properties,7110258297,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-cayan-tower-65568055.html
Panoramic Views | Upgraded | Iconic | Must See,Cayan Tower,,Dubai Marina,Dubai,4,5,2609,334900,yearly,Dana Karash,fam Properties - Branch 6,7110258303,2026-02-02,https://www.propertyfinder.ae/en/plp/rent/penthouse-for-rent-dubai-dubai-marina-cayan-tower-16214505.html
Vacant| Penthouse| Double Height Ceiling |Private Pool | 4BR| Maid Room| Laundry Room| Separate Driver Room,Cayan Tower,,Dubai Marina,Dubai,4,6,5484,750000,yearly,Yazan Awad Amayry,MHM Real Estate,7110258360,2026-03-17,https://www.propertyfinder.ae/en/plp/rent/penthouse-for-rent-dubai-dubai-marina-cayan-tower-65151076.html
FURNISHED|SPACIOUS STUDIO|PRIVATE BALCONY|BEAUPORT,Beauport Tower,Marina Promenade,Dubai Marina,Dubai,studio,1,1244,109499,yearly,Vikas Dahiya,Royal Manor Real Estate Broker,7110387425,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-promenade-beauport-tower-65579934.html
Chiller Free  |  Huge Layout  |  Fully Furnished,Beauport Tower,Marina Promenade,Dubai Marina,Dubai,studio,1,1245,110000,yearly,Cameron Nahar,Dacha Real Estate,7110387428,2026-03-16,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-marina-promenade-beauport-tower-64422369.html
Low Floor | Vacating Soon | 12 cheques,Rimal 3,Rimal,Jumeirah Beach Residence,Dubai,1,2,800,90000,yearly,Sharoon Yaqub,AFS Properties,7110632005,2026-01-28,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-jumeirah-beach-residence-rimal-rimal-3-16180959.html
Newly Upgraded| Vacant| Canal View,The Atlantic,,Dubai Marina,Dubai,1,2,846,110000,yearly,Rose Enanga  Yogo,fam Properties - Branch 4,7112009494,2026-03-18,https://www.propertyfinder.ae/en/plp/rent/apartment-for-rent-dubai-dubai-marina-the-atlantic-65555239.html
