evidence date,data points,all developments,community/building,sub community / building,sub community / building.1,beds,annualised rental price (aed),contract rental price (aed),unit size (sq ft),plot size (sq ft),rent (aed/sq ft),unit type,floor level,unit no.,rent recurrence,view,developer name,source,comments,villa type,maid,study,balcony,select data points,price (aed),price (aed/sq ft),sales recurrence,frequency,chiller fee included,furnished,utilities
18 Mar 2026,Rental Contracts,Al Safa,Al Safa 1,Al Safa Park Complex,B7,1,60000.0,60000.0,782.0,,77.0,Apartment | 3530393,3,B15-305,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mirdif,Ghoroob,Building A41,,1,50820.0,50820.0,715.0,,71.0,Apartment | 2514114,1,102,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,City Walk,Central Park at City Walk,Viridian,,1,145000.0,145000.0,831.0,,174.0,Apartment | 3431197,4,419,New Contract,-,Meraas,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 1,Building 28,,Studio,33000.0,33000.0,411.0,,80.0,Apartment | 3650634,4,408,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Discovery Gardens,Contemporary Cluster,Building 113,,2,85002.0,29576.0,1429.0,,60.0,Apartment | 59110063,G,G07,New Contract,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Business Bay,Tiara United Towers,Tiara West Tower,,1,83490.0,83490.0,724.0,,115.0,Apartment,43,4307,Renewal,-,Wasl,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,,,1,56999.0,56999.0,669.0,,85.0,Apartment | 3180729,2,202,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,Al Awadhi Building,,1,45980.0,45980.0,797.0,,58.0,Apartment,4,404,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 1,Building 38,,2,55125.0,55125.0,983.0,,56.0,Apartment | 3650634,1,113,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Al Muteena,80 - Al Muteena Street,,1,40999.0,40999.0,569.0,,72.0,Apartment | 1231054,1,105,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Discovery Gardens,Contemporary Cluster,Building 122,,1,45980.0,45980.0,968.0,,48.0,Apartment | 59110072,5,501,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Sports City,Royal Residence,Royal Residence 1,,2,62856.0,52351.0,1082.0,,58.0,Apartment | 6821371,11,1103,Renewal,-,Bangash Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Marina,DEC Towers,DEC Tower Podium,,Studio,65000.0,65000.0,517.0,,126.0,Apartment | 3920577,P3,P3-05,New Contract,-,Dheeraj Group & East Coast LLC,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,City Walk,City Walk Building 3A,,,1,165000.0,165000.0,1130.0,,146.0,Apartment | 3439449,4,402,Renewal,-,Meraas,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Business Bay,Majestic Tower,,,2,109147.0,109147.0,1276.0,,86.0,Apartment | 3460733,19,1904,Renewal,-,Al Tayer Real Estate,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Ttay,-,,,-,78072.0,78072.0,,26024.0,,Other | 2840307,-,233,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais Industrial,Al Qusais Industrial 5,Wasl Village,,1,40500.0,40500.0,794.0,,51.0,Apartment,-,301,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mohammed Bin Rashid City,Azizi Riviera,Azizi Riviera 28,,-,75731.0,91500.0,1703.0,,45.0,Retail,G,RETAIL-07,Renewal,-,Azizi,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Garhoud,Liberty Building,,,-,12500.0,12500.0,215.0,,58.0,Office,-,M6-0281,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Jaddaf,Makeen Residence,,,1,60638.0,60638.0,922.0,,66.0,Apartment | 3260940,5,505,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,Sheikha Alia Maktoum Building,,2,53700.0,53700.0,858.0,,63.0,Apartment,1,107,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Barsha,Al Barsha 1,Saleh Bin Lahej Building 341,,1,70000.0,70000.0,850.0,,82.0,Apartment | 3730920,3,312,Renewal,-,Saleh Bin Lahej Real Estate,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Muhaisnah,Muhaisnah 4,Al Wasl Building R429,,Studio,28349.0,28349.0,537.0,,53.0,Apartment | 2450472,-,127,Renewal,-,Wasl,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Hamsah A Building,,-,25185.0,25185.0,108.0,,233.0,Office,-,310-24,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais Industrial,Al Qusais Industrial 5,Wasl Village,Wasl Village Building D32,1,46200.0,46200.0,783.0,,59.0,Apartment,-,406,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,,,1,68000.0,68000.0,718.0,,95.0,Apartment | 3180185,2,D-9,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,The Gardens,The Gardens Buildings,The Gardens Building 41,,2,72104.0,72104.0,1130.0,,64.0,Apartment | 59111516,G,4,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,MKM Building,,1,51999.0,51999.0,775.0,,67.0,Apartment,-,601,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Wasl R367 Block C,,2,57639.0,57639.0,978.0,,59.0,Apartment | 3181173,2,208,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais First,-,,,2,32760.0,32760.0,453.0,,72.0,Apartment,-,89,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Discovery Gardens,Mesoamerican Cluster,Building 222,,Studio,35999.0,35999.0,548.0,,66.0,Apartment | 59110259,2,205,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Nahda,Al Nahda 2,Al Nahda Building 2,,3,77000.0,77000.0,1662.0,,46.0,Apartment,-,804,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Silicon Oasis,Nibras Oasis 2,,,1,57000.0,57000.0,807.0,,71.0,Apartment | 6262550,1,106,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,International City,Russia Cluster,Block V,Building V-07,1,35587.0,35587.0,715.0,,50.0,Apartment | 6211702,2,206,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 1,Building 28,,2,52800.0,52800.0,854.0,,62.0,Apartment | 3650634,3,310,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Silicon Oasis,University View,University View B,,1,60000.0,60000.0,914.0,,66.0,Apartment | 6002630,4,415,Renewal,-,Vakson Real Estate,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Waterfront,Badrah,Manara,Manara 4,1,37258.0,37258.0,702.0,,53.0,Apartment | 5110784,L1,110,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bur Dubai,Al Karama,Belhasa Central,,2,64680.0,64680.0,1399.0,,46.0,Apartment | 3181002,3,302,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Sports City,Red Residence,,,1,59000.0,59000.0,825.0,,72.0,Apartment | 6820108,5,513,Renewal,-,Middle East Development LLC,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais Industrial,Al Qusais Industrial 5,Wasl Village,,2,54500.0,54500.0,1084.0,,50.0,Apartment,-,304,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais Industrial,Al Qusais Industrial 5,Wasl Village,,2,52000.0,52000.0,1156.0,,45.0,Apartment,-,508,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Satwa,Jumeirah Garden City,Astoria Building,,1,58000.0,58000.0,666.0,,87.0,Apartment | 3347194,3,306,Renewal,-,Samir Al Nafisi,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais Industrial,Al Qusais Industrial 5,Sajaya 20,,3,90000.0,90000.0,11087.0,,8.0,Apartment,-,502,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Safa,Al Safa 1,,,2,144999.0,144999.0,1274.0,,114.0,Apartment,-,106,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,International City,Russia Cluster,Block V,Building V-05,1,35587.0,35587.0,715.0,,50.0,Apartment | 6211727,3,301,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,International City,Russia Cluster,Block V,Building V-09,Studio,26848.0,26848.0,478.0,,56.0,Apartment | 6211679,1,104,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Muhaisnah,Muhaisnah 4,Awqaf 269 Building,,1,27000.0,27000.0,678.0,,40.0,Apartment,1,Flat 134,Renewal,-,AWQAF & Minors Affairs Foundation,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais,Sheikh Rashid Colony,Sheikh Colony Block 14,,2,40949.0,40949.0,1030.0,,40.0,Apartment,-,269,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais First,-,,,2,61105.0,61105.0,1166.0,,52.0,Apartment,9,925,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Trade Center 1,Sheikh Rashid Building,,,3,85931.0,85931.0,1890.0,,45.0,Apartment | 3350123,4,408,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,International City,France Cluster,Block R,Building R-15,Studio,29000.0,29000.0,484.0,,60.0,Apartment | 6211497,2,201,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Safa,Al Safa 1,,,1,73999.0,73999.0,922.0,,80.0,Apartment,-,101,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Business Bay,Westbury Square,Westbury Tower 1,,Studio,40000.0,40000.0,462.0,,87.0,Apartment | 3460517,26,2612,Renewal,-,MISMAK Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Qusais Industrial,Al Qusais Industrial 5,Wasl Village,,2,51450.0,51450.0,1185.0,,43.0,Apartment | 2486508,2,203,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Business Bay,Tiara United Towers,Tiara West Tower,,1,82280.0,82280.0,724.0,,114.0,Apartment,35,3507,Renewal,-,Wasl,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Town Square,Zahra Apartments,Zahra Apartments 1A,,2,82727.0,82500.0,975.0,,85.0,Apartment | 9228903,3,320,Renewal,-,Nshama,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bur Dubai,Madinat Dubai Al Melaheyah,,,1,74999.0,74999.0,918.0,,82.0,Apartment,4,403,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mirdif,-,,,-,95504.0,95504.0,2497.0,2500.0,38.0,Villa Complex | 2511152,G+1,0,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Discovery Gardens,Mesoamerican Cluster,Building 217,,1,50693.0,50693.0,957.0,,53.0,Apartment | 59110254,4,408,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bur Dubai,Madinat Dubai Al Melaheyah,,,2,81400.0,81400.0,1540.0,,53.0,Apartment,4,404,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Discovery Gardens,Mesoamerican Cluster,Building 218,,Studio,32144.0,32144.0,484.0,,66.0,Apartment | 59110255,2,211,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Barsha,Al Barsha 1,Shaibani Building,,2,88000.0,88000.0,1327.0,,66.0,Apartment,5,502,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,Al Dana Building,,1,47500.0,47500.0,773.0,,61.0,Apartment,6,626,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 2,Al Khail Gate 1-7,,2,60000.0,60000.0,1208.0,,50.0,Apartment | 3650634,2,203,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 1,Building 14,,2,52800.0,52800.0,861.0,,61.0,Apartment | 3650634,1,102,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Sufouh,Al Sufouh 1,Pearl Residence,,Studio,49000.0,49000.0,592.0,,83.0,Apartment | 3720580,8,816,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Meydan,Meydan Avenue,Residence 1,Residence 1 - Block D,3,161000.0,161000.0,1840.0,,88.0,Apartment | 6187242,2,D201,Renewal,-,Meydan Group,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Silicon Oasis,Topaz Residences,Topaz Residence 3,,1,57279.0,28875.0,947.0,,61.0,Apartment | 6262592,5,502,Renewal,-,GGICO,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mirdif,Ghoroob,Building A44,,1,50693.0,50693.0,771.0,,66.0,Apartment | 2514114,2,213,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,International City,China Cluster,Block C,Building C-04,Studio,30500.0,30500.0,484.0,,63.0,Apartment | 6211657,2,203,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mirdif,Shorooq,,,3,137813.0,137813.0,3574.0,3574.0,39.0,Villa | 2514313,G+1,I-41,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Satwa,Jumeirah Garden City,Astoria Building,,2,74000.0,74000.0,906.0,,82.0,Apartment | 3347194,5,501,Renewal,-,Samir Al Nafisi,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,The Gardens,The Gardens Buildings,The Gardens Building 111,,1,71500.0,71500.0,710.0,,101.0,Apartment | 59111420,2,31,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Jumeirah Lakes Towers,-,,,-,50000.0,50000.0,,53068.0,,Factory,-,1,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Badaa,-,,,-,150000.0,150000.0,,2130.0,,Villa,G+1,462,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bluewaters Island,Banyan Tree Residences,,,1,411840.0,411840.0,1792.0,,230.0,Apartment | 3926998,2,206,Renewal,-,Meraas,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Al Baraha,,,Studio,27300.0,27300.0,323.0,,85.0,Apartment,-,109,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Hor Al Anz,Hor Al Anz West,Abdul Aziz Mohmed Al Majid,-,105000.0,105000.0,8611.0,,12.0,Retail,-,S2,New Contract,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Hor Al Anz,Hor Al Anz East,,2,75000.0,75000.0,976.0,,77.0,Apartment,-,303,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Production City,H39,,,1,72000.0,72000.0,809.0,,89.0,Apartment | 6854294,1,103,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Trade Center 1,Sheraton Grand Hotel,,,-,20000.0,20000.0,108.0,,185.0,Office,-,O-3603-74,Renewal,-,SRG,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Trade Center 1,Sheraton Grand Hotel,,,-,20000.0,20000.0,108.0,,185.0,Office,-,O-3603-68,Renewal,-,SRG,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Waterfront,Badrah,Badrah Townhouses,,2,76000.0,76000.0,1210.0,1043.0,63.0,Villa | 5110851,G+1,WF-BM-26-Q2-T23,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Trade Center 2,21st Century Tower,,,3,117521.0,117521.0,1336.0,,88.0,Apartment | 3360217,17,1705,Renewal,-,Al Rostamani,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Al Baraha,,,Studio,24255.0,24255.0,344.0,,71.0,Apartment,-,401,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mirdif,Ghoroob,Building A02,,2,63945.0,63945.0,1333.0,,48.0,Apartment | 2514114,4,405,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Al Murar,,,Studio,29000.0,29000.0,251.0,,116.0,Apartment | 1170918,2,F-204,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Discovery Gardens,Mediterranean Cluster,Building 82,,1,56030.0,56030.0,968.0,,58.0,Apartment | 59110132,4,403,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 2,Al Khail Gate 1-6,,2,57881.0,57881.0,1173.0,,49.0,Apartment | 3650634,8,812,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Al Muraqqabat,Masaken Al Muraqqabat 06,,2,82467.0,82467.0,1404.0,,59.0,Apartment,1,113,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Industrial City,-,,,-,150000.0,150000.0,83066.0,,2.0,Warehouse | 5330133,G,1,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 1,Building 13,,2,52800.0,52800.0,840.0,,63.0,Apartment | 3650634,2,207,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Barsha Heights (Tecom),Tecom 2 Building,,,1,62760.0,62760.0,980.0,,64.0,Apartment,3,304,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Trade Center 1,Al Manal Tower,,,2,130000.0,130000.0,1184.0,,110.0,Apartment | 3350348,24,2405,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Deira,Port Saeed,,,-,544254.0,1090000.0,3062.0,,178.0,Showroom,-,Showroom-3,New Contract,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 2,Al Khail Gate 1-7,,2,60000.0,60000.0,1209.0,,50.0,Apartment | 3650634,2,207,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 2,Al Khail Gate 1-27,,2,57330.0,57330.0,1210.0,,47.0,Apartment | 3650634,3,301,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai South,Expo City,Expo Village,Expo Village Residences 4 | Expo Village Residences 4A,2,92000.0,92000.0,1071.0,,86.0,Apartment,7,4A-705,Renewal,-,Dubai World Trade Centre,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,,,1,55000.0,55000.0,721.0,,76.0,Apartment,-,103,Renewal,-,Private Developer,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 1,Building 19,,1,41745.0,41745.0,659.0,,63.0,Apartment | 3650634,2,208,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 2,Al Khail Gate 1-13,,2,56228.0,56228.0,1211.0,,46.0,Apartment | 3650634,7,705,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,International City,Russia Cluster,Block V,Building V-05,1,37073.0,37073.0,715.0,,52.0,Apartment | 6211727,1,102,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,DIFC,Burj Daman,,,1,160000.0,160000.0,919.0,,174.0,Apartment,-,,-,-,Daman Asset Management,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Warqaa,Al Warqaa 1,,,1,38300.0,38300.0,538.0,,71.0,Apartment,4,F407,Renewal,-,Private Developer,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Bur Dubai,Oud Metha,Al Nasr Square Block A,,1,70000.0,70000.0,739.0,,95.0,Apartment,10,A 1010,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Jumeirah Lakes Towers,Cluster D,Lake Terrace,,Studio,55000.0,55000.0,472.0,,117.0,Apartment | 3930956,3,304,Renewal,-,DAMAC Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mirdif,Shorooq,,,3,140627.0,140627.0,3574.0,3574.0,39.0,Villa | 2514313,G+1,A-11,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Marina,Dream Towers,Dream Tower 1,,2,77700.0,77700.0,1250.0,,62.0,Apartment | 3920447,12,1206,Renewal,-,Desert Dream Investments and Development,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Downtown Dubai,Downtown,Blvd Heights,Blvd Heights 1,1,120750.0,120750.0,888.0,,136.0,Apartment | 3450807,14,1404,Renewal,-,Emaar,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Industrial City,DIC Workers Accommodation,LV1A-5,,-,25620.0,25620.0,221.0,,116.0,Labour Camp,-,112,Renewal,-,,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Remraam,Al Ramth,Al Ramth 08,,2,77792.0,77792.0,1124.0,,69.0,Apartment | 6830847,6,607,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,International City,China Cluster,Block F,Building F-02,1,37073.0,37073.0,721.0,,51.0,Apartment | 6211609,2,208,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Mirdif,Ghoroob,Building B02,,3,88000.0,88000.0,1711.0,,51.0,Apartment | 2514114,2,202,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Al Khail Gate,Al Khail Gate Phase 2,Al Khail Gate 1-7,,2,60000.0,60000.0,1173.0,,51.0,Apartment | 3650634,3,312,Renewal,-,Dubai Properties,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dragon City,Dragon Mart 2,,,-,155736.0,467635.0,1648.0,,95.0,Retail,1,F-C-101,New Contract,-,Nakheel,-,-,,,,,,,,,,,,
18 Mar 2026,Rental Contracts,Dubai Waterfront,Badrah,Manara,Manara 7,2,62000.0,62000.0,1412.0,,44.0,Apartment | 5110784,L4,406,Renewal,-,Nakheel,-,-,,,,,,,,,,,,
